N,1,2,3,4,5,6,7,8
12.0,0.8356726000000001,0.6249882999999999,0.6245061999999999,0.6257872,0.6301357000000001,0.6450384,0.6408215,0.6437568999999999
13.0,0.8368907,0.6243123999999999,0.6225429,0.6224645,0.6282342999999999,0.6395369000000002,0.6345627,0.6339707000000001
14.0,0.8360238,0.6215616,0.6212565999999999,0.6219213000000001,0.6337811,0.6307164,0.6284391,0.6299297
15.0,0.8362649,0.6222691,0.6216937999999999,0.6217569000000001,0.6344393,0.6251968999999998,0.6249528,0.6260500999999999
16.0,0.8374043,0.6229735999999999,0.6197873,0.6268796,0.6226465999999999,0.6234472000000001,0.6235272999999999,0.6258845000000001
17.0,0.8353177,0.623471,0.6211671999999999,0.630184,0.6224774000000001,0.6241529,0.6237264,0.6242034000000001
18.0,0.837597,0.6256828,0.6323124,0.6217791,0.6236356,0.6238703,0.6250171,0.6262164
19.0,0.8471524,0.6376915999999999,0.6340393,0.6264637000000001,0.6241427000000002,0.6233732999999999,0.625637,0.623923
20.0,0.8351485,0.6485583,0.6406383999999999,0.6260237,0.6290349,0.6274950000000001,0.6280121,0.6310424000000001
