N,1,2,3,4,5,6,7,8
12.0,0.0815539,0.0597903,0.0597903,0.0597903,0.0597903,0.0597903,0.0597903,0.0597903
13.0,0.0821843,0.059944,0.059944,0.059944,0.059944,0.059944,0.059944,0.059944
14.0,0.08201739999999999,0.059936199999999995,0.059936199999999995,0.059936199999999995,0.059936199999999995,0.059936199999999995,0.059936199999999995,0.059936199999999995
15.0,0.0819969,0.0599047,0.0599047,0.0599047,0.0599047,0.0599047,0.0599047,0.0599047
16.0,0.0821195,0.060001000000000006,0.060001000000000006,0.060001000000000006,0.060001000000000006,0.060001000000000006,0.060001000000000006,0.060001000000000006
17.0,0.082349,0.0602209,0.0602209,0.0602209,0.0602209,0.0602209,0.0602209,0.0602209
18.0,0.08236679999999999,0.0601994,0.0601994,0.0601994,0.0601994,0.0601994,0.0601994,0.0601994
19.0,0.08323939999999999,0.060348900000000004,0.060348900000000004,0.060348900000000004,0.060348900000000004,0.060348900000000004,0.060348900000000004,0.060348900000000004
20.0,0.0850101,0.0618712,0.0618712,0.0618712,0.0618712,0.0618712,0.0618712,0.0618712
