,min-N,pthread,cilk,openmp,pthread-9000
0,10.0,0.0730808,0.059974700000000006,0.059974700000000006,0.059974700000000006
1,11.0,0.0706316,0.060018,0.060018,0.060018
2,12.0,0.0661649,0.0600285,0.0600285,0.0600285
3,13.0,0.0657491,0.060178600000000006,0.060178600000000006,0.060178600000000006
4,14.0,0.06330480000000001,0.06013159999999999,0.06013159999999999,0.06013159999999999
5,15.0,0.0625825,0.060053100000000005,0.060053100000000005,0.060053100000000005
6,16.0,0.0619085,0.060146599999999995,0.060146599999999995,0.060146599999999995
7,17.0,0.0627071,0.0604614,0.0604614,0.0604614
8,18.0,0.06251480000000001,0.060370900000000005,0.060370900000000005,0.060370900000000005
9,19.0,0.0622247,0.06157700000000001,0.06157700000000001,0.06157700000000001
10,20.0,0.062738,0.062738,0.062738,0.062738
11,21.0,0.0626408,0.0626408,0.0626408,0.06186509999999999
12,22.0,0.0681602,0.0654149,0.0654149,0.0628054
