N,1,2,3,4,5,6,7,8
12.0,0.8337007000000001,0.6000482,0.6080224,0.6393985,0.8860523999999999,1.4669812,1.4628337,1.4258381999999998
13.0,0.8248568999999999,0.6009649,0.6086621,0.6394037,0.8300502000000001,1.4523015,1.4236322,1.5013724999999998
14.0,0.8260865000000002,0.6084245,0.6101597000000001,0.6389874000000001,0.8495113999999999,1.5242129,1.5769074999999997,1.4621972
15.0,0.8255058,0.6002314,0.6074071,0.6457926999999999,0.8472161999999999,1.4868104,1.4555882999999998,1.5093107000000001
16.0,0.8254436,0.6118222999999999,0.6106291,0.6369900000000001,0.8615236,1.4720281,1.4678819,1.4129106999999999
17.0,0.8263997000000001,0.603938,0.6120564000000001,0.6524794999999999,0.840039,1.4463846,1.3835365999999998,1.5094237
18.0,0.826386,0.6067279999999999,0.6312988,0.66906,0.854319,1.4557212,1.4990747999999998,1.4808312000000001
19.0,0.8348555,0.6141871999999999,0.638043,0.7285678,0.9640075,1.4452888,1.5222988000000002,1.4612886
20.0,0.8541680999999999,0.632204,0.6924695,0.8043942000000001,1.1297195999999998,1.4559460000000002,1.4197797,1.4083309
