N,1,2,3,4,5,6,7,8
12.0,0.8187933999999999,0.6927861999999999,0.6270554000000002,0.6242629,0.6282003,0.6435813,0.662235,0.6848846999999999
13.0,0.8058540000000001,0.692061,0.6287881999999999,0.6190525,0.6190112999999999,0.6287832000000001,0.6451324999999999,0.6542769000000002
14.0,0.8177773,0.6793133,0.6198013,0.6161608,0.6207294999999999,0.6209214,0.6329132,0.643732
15.0,0.8049078,0.6924123,0.6273377000000001,0.6130719,0.6126889,0.6172298999999999,0.6234459000000001,0.6375428
16.0,0.7999436,0.6899374,0.6194547,0.6134725999999999,0.6137296999999999,0.612204,0.6179282,0.6341866
17.0,0.8107957,0.6982907,0.6235790999999999,0.616225,0.6133758,0.6126933,0.6254495,0.6142078
18.0,0.8077523999999998,0.7014438,0.6254346,0.6217612,0.6163548,0.6128979999999999,0.6205613000000001,0.6098743
19.0,0.8014962999999999,0.7014743000000001,0.6301656999999999,0.6256812999999999,0.6233424000000001,0.6265219000000001,0.6123046999999999,0.6104522
20.0,0.8159925000000001,0.7050225999999999,0.6389417000000001,0.6233013999999999,0.6389518000000001,0.6207209,0.6118762999999999,0.6106317
