N,1,2,3,4,5,6,7,8
12.0,0.0801775,0.0715558,0.06766370000000001,0.0647491,0.0647491,0.0647491,0.0647491,0.0647491
13.0,0.08349809999999999,0.0715914,0.0650504,0.06373609999999999,0.06373609999999999,0.06373609999999999,0.06373609999999999,0.06373609999999999
14.0,0.08348710000000001,0.0716665,0.065897,0.0638054,0.06260829999999999,0.06260829999999999,0.06260829999999999,0.06260829999999999
15.0,0.0835242,0.0718444,0.0640987,0.0621893,0.0621893,0.0621893,0.0621893,0.0621893
16.0,0.0835143,0.0721237,0.06404950000000001,0.0619877,0.0619877,0.0619877,0.0619877,0.0619877
17.0,0.0835054,0.0695072,0.06634100000000001,0.0619872,0.0619872,0.0619872,0.0619769,0.0618209
18.0,0.0835109,0.0731294,0.06511900000000001,0.0622602,0.06197009999999999,0.0618888,0.0618888,0.0618772
19.0,0.08357010000000001,0.0743434,0.0641301,0.06227049999999999,0.0620817,0.06180719999999999,0.06180719999999999,0.06180719999999999
20.0,0.0841484,0.0702875,0.0630506,0.0630506,0.0619659,0.061932600000000004,0.0618769,0.0618769
