N,1,2,3,4,5,6,7,8
12.0,0.0792686,0.0670056,0.061772400000000005,0.061772400000000005,0.061772400000000005,0.061772400000000005,0.061772400000000005,0.061772400000000005
13.0,0.0749254,0.06712169999999999,0.0617632,0.061433400000000006,0.061433400000000006,0.061433400000000006,0.061433400000000006,0.061433400000000006
14.0,0.0762205,0.0650661,0.0614793,0.0612183,0.0612183,0.0612183,0.0612183,0.0612183
15.0,0.07415469999999999,0.0679952,0.0614255,0.06103309999999999,0.0609254,0.0609254,0.0609254,0.0609254
16.0,0.0745735,0.06677809999999999,0.0611828,0.0608316,0.060829299999999996,0.060829299999999996,0.060829299999999996,0.060829299999999996
17.0,0.0753459,0.0693886,0.0615498,0.0610874,0.060935300000000005,0.06085120000000001,0.06085120000000001,0.06085120000000001
18.0,0.07507549999999999,0.0685775,0.0612567,0.061083399999999996,0.060677400000000006,0.060677400000000006,0.060677400000000006,0.060677400000000006
19.0,0.079778,0.0689231,0.061570400000000004,0.0607703,0.0606931,0.0606931,0.0606931,0.0606363
20.0,0.0795449,0.06919349999999999,0.0626739,0.0610199,0.0610199,0.0608741,0.0607602,0.060406
