N,1,2,3,4,5,6,7,8
12.0,0.08153099999999999,0.0621525,0.0621525,0.0621525,0.0621525,0.0621525,0.0621525,0.0621525
13.0,0.0833871,0.061972400000000004,0.061972400000000004,0.061972099999999995,0.061972099999999995,0.061972099999999995,0.061972099999999995,0.061972099999999995
14.0,0.083353,0.0617757,0.0617757,0.0617757,0.0617757,0.0617757,0.0617757,0.0617757
15.0,0.0833179,0.061876200000000006,0.061876200000000006,0.0618657,0.0618657,0.0618657,0.0618657,0.0618657
16.0,0.0835684,0.0619637,0.0617286,0.0617286,0.0617286,0.0617286,0.0617286,0.0617286
17.0,0.08334240000000001,0.062096799999999994,0.0618101,0.061655,0.061655,0.061655,0.061655,0.061655
18.0,0.0835718,0.06218,0.0620765,0.061870800000000004,0.061870800000000004,0.061870800000000004,0.061870800000000004,0.061870800000000004
19.0,0.0842602,0.0632582,0.062038,0.062038,0.062038,0.062038,0.062038,0.061963000000000004
20.0,0.083243,0.0636887,0.06325929999999999,0.062018399999999994,0.062018399999999994,0.0619444,0.0619444,0.0619444
